Partlist exported from D:/My Documents/GitHub/MVP/Electronic Design/Eagle Files & BOMs/LED_board.sch at 11/10/2016 23:28

Part           Value Device     Package Description               
LED1                 LED5MM     LED5MM  LED                       
LED2                 LED5MM     LED5MM  LED                       
LED3                 LED5MM     LED5MM  LED                       
LED4                 LED5MM     LED5MM  LED                       
LED5                 LED5MM     LED5MM  LED                       
LED6                 LED5MM     LED5MM  LED                       
LED_CONTROL_IN       PINHD-1X8  1X08    PIN HEADER                
R1             270E  R-EU_R1206 R1206   RESISTOR, European symbol 
R2             270E  R-EU_R1206 R1206   RESISTOR, European symbol 
R3             270E  R-EU_R1206 R1206   RESISTOR, European symbol 
R4             270E  R-EU_R1206 R1206   RESISTOR, European symbol 
R5             270E  R-EU_R1206 R1206   RESISTOR, European symbol 
